,0
111,28034.204512903096
112,27413.212345730935
113,25160.27218930384
114,26569.938051812616
115,20570.99303995721
116,19975.89035728408
117,23602.832417287464
118,24838.44370460281
119,23187.647862640108
120,26000.60745693827
121,20495.876245999927
122,23572.50627471568
123,30434.683565416835
124,30842.352508417367
125,30131.18848115958
126,28689.063335062565
127,22715.49117358253
128,25199.343105650838
129,31756.42544449532
130,31680.299492085753
131,31138.958014127133
132,29199.896332644814
133,22999.683257946
134,24039.39120332509
135,29863.197434835736
136,29523.42569033483
137,28683.819208436806
138,28171.791578727163
139,22585.11082750772
140,24706.690359288412
141,31757.89709175739
142,31164.847318691056
143,30625.089360983977
144,28739.00443951672
145,22811.09877613082
146,25210.06560766537
147,32107.894872493292
148,31364.623495844462
149,30080.884840518716
150,28207.853476598008
151,22715.49117358253
152,22184.962670978144
153,27995.272243383657
154,27500.041415208
155,25882.322660483802
156,26884.092104834057
157,21292.294348306044
158,20014.205574468284
159,24103.118986321246
160,25407.37751150525
161,23828.825725270188
162,26574.584681114953
163,21086.932442911533
164,24392.853791314556
165,31802.705824744826
166,31782.90346465792
167,31382.406890938186
168,29199.896332644814
169,23190.98640957839
170,25257.531960384775
171,32062.843500378513
172,31624.211843732428
173,31023.960888123358
174,29179.907296684472
175,23239.735605954265
176,25780.88525454265
177,32508.39853002369
178,31798.898024841495
179,31456.212274919002
180,29242.905361812547
181,23204.1858610337
182,25743.54883974459
183,32303.90365026811
184,31787.305019437732
185,31662.640266194474
186,29052.65007722474
187,23588.522060571144
188,25769.25332647128
189,32008.613456434407
190,31427.23867848534
191,30647.158674274175
192,28689.063335062565
193,22897.06394961927
194,22043.65805146293
195,28119.867613502356
196,27835.800638127927
197,25961.536572450925
198,26912.191672879817
199,20897.06287928204
200,20425.62880514379
201,23969.698757811868
202,25514.460871727162
203,24272.984689670215
204,26574.584681114953
205,21015.099105803612
206,24285.764615981407
207,31799.03127809506
208,31419.31599984067
209,31382.406890938186
210,28674.248844510017
211,22883.60759471462
212,25223.98985587099
213,31717.21038310539
214,31382.406890938186
215,30755.732679756038
216,29033.194225158437
217,23204.1858610337
218,25734.02342200111
219,32299.83068360144
220,32001.997609607715
221,31382.406890938186
222,29199.896332644814
223,22811.09877613082
224,25794.97491675974
225,32175.923250801963
226,32197.409329995833
227,32072.576906240844
228,29179.907296684472
229,23219.885470494755
230,25817.432303462858
231,32785.8911405175
232,32018.820240875983
233,30874.350317416614
234,28251.59885767145
235,22799.131158597334
236,21718.68020750228
237,28135.028016790216
238,27041.344568380566
239,25213.91422361656
240,25517.608438790798
241,20381.734882911802
242,19351.38636444827
243,23592.45097867577
244,24656.840602352735
245,22982.798661936613
246,25587.06467000901
247,20408.98088600759
248,23602.832417287464
249,31419.26151193482
250,30488.477468028377
251,30053.381593358597
252,28193.862331998796
253,22387.272410399917
254,25213.01762848129
255,32743.697066567238
256,32026.189524727026
257,31385.006587907883
258,28741.923565003483
259,22885.09310961977
260,25210.06560766537
261,32316.97376986398
262,31984.187344024835
263,31006.246548314746
264,28739.00443951672
265,23067.10654421842
266,25828.441988003662
267,33189.20961146776
268,32503.637619834895
269,31837.060053879097
270,29162.401837865327
271,22572.615656295293
272,25251.53749746031
273,32781.57813398155
274,31676.13586379907
275,30096.862659292867
276,27561.346344769347
277,21849.868252024226
278,20916.792320596418
279,26910.09135335775
280,26569.938051812616
281,24806.346230980413
282,25857.621149773797
283,20110.37336301195
284,19279.579693720825
285,23210.52307887902
286,24269.617059597225
287,22359.864694200034
288,25166.55987400357
289,19923.473566134275
290,23242.499312386528
291,30685.367330193374
292,30091.064584159125
293,28838.645742418215
294,27359.483104208084
295,21766.029711479332
296,24554.716248328088
297,30578.10153576699
298,29941.4892779609
299,29252.11731383514
300,27432.11988094179
301,21476.160694204915
302,23607.71362953871
303,29693.899335307407
304,29265.978213959268
305,28214.616305649626
306,27095.224027257907
307,21531.64953508842
308,24489.470983455307
309,30611.662648259193
310,30365.090785082313
311,29255.61268809238
312,27531.433345809484
313,21791.224760614983
314,24260.606228943387
315,30664.965787660833
316,29684.701357262627
317,28260.6188626711
318,26574.584681114953
319,21205.891553181253
320,19975.89035728408
321,25266.992054984694
322,24811.393970794594
323,22588.303379620702
324,24919.897092957395
325,19795.37467903639
326,19219.728340016194
327,23100.38937728836
328,23897.545061206078
329,22075.413910829666
330,24865.093105982185
331,19356.775993930976
332,22636.927787171193
333,30530.57058371126
334,29841.459722445717
335,28811.186853519925
336,27531.433345809484
337,21740.46401528482
