,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,31477.876377284527,31998.970696605742,30517.870214924216,29894.504819065336,31052.35015618801,31051.902550071478,30813.80807556957,28854.470855310563,28718.35011017322,27021.004953578115,29362.68958878517,28166.73582197726,27587.110225245357,28661.76521877944,28368.420945502818,28478.102899402384,25724.940533548594,26029.44603729248,24071.047145187855,26260.45513212681,28127.89165621996,26849.806310415264,26151.930020093914,25703.860060289502
1,23320.16264486313,23933.805975854397,22383.778129041195,21904.46291741729,23300.262798309326,23321.111734628677,23036.442373931408,23057.443316400055,22735.628013730045,24483.846203133464,22273.684854030605,22428.22968283296,21381.029149472713,22104.693316876885,24969.163331598043,23116.364178538326,22199.73315498233,24104.13733482361,21361.17272812128,22305.004696130756,22744.01842546463,22993.49261188507,24667.528173208233,23383.093279242516
2,25123.983472794294,26033.75386248529,24925.83500470221,26175.8981589824,25940.688248991966,27602.726255834103,26896.819587618113,26829.65795761347,25620.737141788002,24962.427705422044,28276.343489408493,27849.009786978368,29393.150169953704,28346.040712878104,26398.964596748352,31639.322982274,29195.111004173756,25812.661820411682,30869.284315358847,31744.22339472175,31951.328523136675,34671.246952056885,32928.146540492766,32746.79561650008
3,31809.237967073917,32464.048726867884,32044.973751321435,32847.65130930394,32691.6160646677,31747.432073920965,32896.96689994633,33718.19317872823,33017.06821393967,32655.119741231203,33034.04731106758,32451.383437186483,33233.026735544205,33250.03683733194,31439.309644535184,33185.1459672153,32174.607958741486,33501.955955028534,30665.372596099973,32442.977694094185,34049.39540813863,33054.997119903564,28494.759938359257,30104.819789972156
4,33992.13135808706,33907.51084050536,33542.3443524912,34117.012567818165,33854.57499098778,33622.37632071972,33529.4824296087,33787.20125369728,33968.30511164665,34366.51882354915,33828.52186393738,31362.886168509725,32440.024142041802,33081.451991252594,32466.975053980947,30934.940582029525,34074.19642871618,34401.550171375275,33565.55907918513,33914.296097546816,33250.31966026127,33326.62384021282,32216.396963655945,31731.035016939044
5,32981.08512891829,33136.973191954195,32524.954981938004,32969.868528716266,32696.94217288494,34359.181410074234,33832.945769011974,32722.824951395396,32887.57749539614,34750.36578376591,34852.99349498749,33193.51631350071,33613.490377649665,34011.9096982479,34296.820113644004,33950.61574649811,34997.226152703166,33246.31927347183,33331.779609173536,32943.04326428473,33375.827787816525,33273.68191933632,31901.368445456024,32476.962903529406
6,31905.57925018668,32416.523575000465,30624.45880817622,30194.62439206988,31281.208218812943,31385.766453295946,30662.3596056439,30375.368414834145,29392.466795042154,32615.970048949122,29941.31939482689,29278.625770155344,27663.94715897739,27259.041211590167,29325.26674477756,28815.355445384983,26776.15397965908,25928.902480125427,26338.78842842579,26640.68622720242,25690.136639416218,24804.56224608421,27361.520948052403,26434.231222435832
7,23337.513975143433,23969.52864062786,22633.88441091776,22433.138249993328,23498.62658238411,23408.279282569885,23120.195366442204,22976.798845052723,22740.77949118614,24220.466771915555,22436.885001182556,22577.093092054132,21673.644960820675,21785.245224833485,25015.92607034743,23231.748657703403,22383.00786665082,24111.213012695312,21861.019558608532,22327.930314779285,22317.430500984192,22855.6566696167,24717.781520366665,23642.231974244118
8,25188.844359904528,26125.637022212148,25378.42192940414,26352.091485068206,26145.089788913727,27644.081524670124,27051.90497481823,27226.73767985404,26063.673083007332,24341.388393834233,28516.66034412384,28121.823158919815,29810.62358301878,28658.32610635459,26791.551402419806,31904.553963974122,29345.425248876214,26042.44214630127,31192.70904403925,32023.86051346362,32376.80024649203,35344.30769085884,33252.73946720361,32852.02030291408
9,32480.138056769967,32947.66789925471,32926.148617744446,33432.600986287,33307.34322464466,32386.73617810011,33607.40909644961,34242.33893181384,33587.339565873146,33309.528158053756,33598.61557793617,32873.45158848167,34016.69646704197,33883.93705108761,32111.935819894075,33546.76317861676,32592.878179460764,33907.02455186844,31384.685860414058,32861.404633536935,34515.975143671036,33466.00269806385,28810.30385482311,30634.85770778358
10,34520.007811293006,34528.39790292084,33858.750549554825,34513.63885611296,34366.017552018166,34188.11972999573,34125.102579295635,34162.55909897388,34513.880144774914,34689.24993981421,34194.2355735302,31826.620030239228,32869.490191191435,33471.517703771584,32247.170189604163,31507.91181135178,34494.548171930015,34649.64982652664,33828.089188724756,34322.413059830666,33639.58711217344,33772.06340765953,32746.994838595387,31921.85341899842
11,33161.68151085079,33197.61532191932,32564.224277622998,33139.869386427104,32863.63586127758,34766.997052669525,34111.31154039502,32626.937485888604,32835.71302783489,34780.591442629695,35051.41779375076,33353.260015189655,34022.25274375081,34220.6585779488,34437.93815097213,34198.25663471222,34986.16171708703,33216.73045396805,34273.436590865254,33248.83623185754,33684.72674155235,33722.51614296436,32349.06160598993,32878.919426273555
12,31846.274665534496,32284.375182110816,30538.516291961074,29973.11253547669,31066.601265072823,31162.495903283358,30365.320891678333,30183.232824042443,29075.109107166525,32420.67924042046,29800.063837885857,29092.06145300344,27530.260749921203,26967.923284918066,28951.928082875907,28611.05568495393,26675.755403995514,24689.38733100891,26346.510140180588,26439.401135563854,25490.544103980064,24438.443738937374,27231.299809694287,26296.58246794343
13,23515.636324763298,24076.61552298069,22835.958950340748,22527.560480147604,23762.850335121155,23538.67552614212,23357.66876810789,23173.082023292784,23012.95254719257,24259.240294888616,22498.135976314545,22644.612348437313,21843.591097831726,22016.174313664433,24975.419156461954,23147.40522193909,22326.84061190486,24142.1821269989,21883.66609621048,22389.797776341442,22431.872634589672,22904.399416923523,24819.122208118435,23716.47977644205
14,25240.5409860909,26257.987896814942,25405.558591380715,26314.180197224025,26230.08727669716,27710.145623147488,27063.37695582211,27411.94671298564,26230.677268028256,24533.65204808116,28298.08540415764,27900.30076928437,29576.900238528848,28506.549048170444,26393.598040401936,31720.57766600326,29282.68852418661,25952.70214653015,31139.396219003946,32030.65726360679,32081.210077382624,35444.15130233765,33220.4282708764,32877.13364235684
15,32305.800940692425,32841.187269218266,32771.28320609778,33321.83224475384,33273.436747670174,32330.869024902582,33443.99570426345,34192.8899563402,33328.05199754238,33165.01822848618,33640.21125149727,32940.46632212401,33958.31550294161,33854.21630190312,31767.223338618875,33746.40799856186,32589.678282424808,33965.962139606476,31300.173940706998,32895.190615057945,34492.927360504866,33751.30339181423,28936.48407721519,30573.982097353786
16,33924.27076163888,33881.16356611997,33592.10615827888,34096.008196629584,33818.46094596386,33507.16336244345,33339.90656800568,33761.28493501247,33872.410498678684,34116.46156091988,33458.26171588898,31229.355799535293,32238.810109183192,32911.18573068827,32718.054970934987,30594.93657871336,33759.83637238294,33987.97850847244,33326.86413308978,33903.53852126002,33130.33131721616,33400.02219307423,32230.90544494986,31603.454141436145
17,32449.26589860022,32815.4081762135,32096.82243373245,32639.887558907274,32332.85685133934,34113.99244403839,33714.12790310383,32205.691983580593,32604.69983708858,34303.928364261985,34677.6263923645,33047.07007110865,33527.16034728289,33904.703632444136,33851.87640248239,33734.11196759343,35021.54883800447,33093.59040403366,33370.51055699587,32945.754940763116,33449.62616096437,33343.32780635357,32048.650758504864,32612.32098647952
18,31411.29128548503,31739.914777711034,30041.466150447726,29562.595705471937,30732.37080490589,30813.376782506704,29966.48619871773,29654.116974473003,28555.225719034668,31881.527359455824,29204.903226614,28625.38268311322,26883.174735307693,26500.323585346337,28636.49183588475,28171.21609807015,26377.035871356726,24511.290126800537,26036.905676186085,26072.178858637813,24684.23599410057,23857.572105407715,26925.10404014587,25818.665963426232
19,23457.636360406876,23935.7908334136,22759.11664581299,22651.365348964933,23512.90689921379,23456.79948234558,23177.40425759554,23005.802820920948,22870.395299911495,24269.011203691363,22388.131207942963,22560.20780283213,22099.683075904846,22201.729049980637,24978.13541574776,23200.41901123524,22417.8430249393,24136.04581642151,21916.14358597994,22439.408887386326,22617.64271301031,23092.974583625793,24860.483927011486,23847.47501978278
20,25220.755109101534,26105.421852335334,25268.67268128693,26276.16719810665,26142.325296401978,27717.124446809292,27170.134784147143,27138.926473483447,26111.12302613258,24205.233299329877,28324.212661504745,27910.463820219044,29329.941231772304,28287.635000795122,26338.579844146967,31784.336599454287,29169.685632124543,26295.504528045654,30836.35989812389,31687.292975157503,31954.650096431375,34442.87649703026,32892.98079192638,32728.603796377778
