,0
102,29943.055411547422
103,23085.86863398552
104,25748.85232272744
105,32382.160913020372
106,32134.89528310299
107,30990.668300956488
108,28822.759098231792
109,22574.205408334732
110,22544.489899158478
111,28183.70055821538
112,26402.733917862177
113,24877.20483198762
114,26829.852483600378
115,20609.851671218872
116,20665.898892998695
117,23511.757961034775
118,24633.843091845512
119,23334.833740234375
120,27300.216160982847
121,20697.479398965836
122,23300.432606101036
123,30928.29899531603
124,30618.221741229296
125,30076.316132843494
126,28705.43540468812
127,22059.191889047623
128,24562.29198741913
129,31359.202994018793
130,31262.058836966753
131,31042.90117354691
132,28992.00795584917
133,22466.80456662178
134,23816.524600863457
135,29994.379915833473
136,28847.172767728567
137,28525.351936757565
138,28126.746762931347
139,21751.566331982613
140,24326.452055335045
141,31497.88560718298
142,30694.366337537766
143,30638.266867130995
144,28474.888138860464
145,22154.563581228256
146,24780.444363325834
147,31899.464964300394
148,30941.79489542544
149,30069.270943939686
150,27961.32721117139
151,22162.3346670866
152,22160.6132543087
153,28206.058184415102
154,26742.50873312354
155,25974.75783649087
156,27210.792835384607
157,20946.749222397804
158,20823.241445183754
159,24308.926828861237
160,25136.11073806882
161,23980.728873491287
162,27735.52220621705
163,20891.28271818161
164,23873.403014540672
165,32167.393530219793
166,31398.87286373973
167,31309.414838671684
168,28732.92376628518
169,22399.532265782356
170,25072.032383829355
171,31521.05528074503
172,31231.6770580858
173,30933.271389454603
174,28654.15916058421
175,22686.620522856712
176,25142.859984368086
177,31945.517143398523
178,31482.581146776676
179,31571.90555894375
180,28817.12861070037
181,22676.008068919182
182,25208.405288606882
183,31884.54857957363
184,31191.365248173475
185,31705.757766604424
186,28551.251301944256
187,22785.481306552887
188,25384.097877651453
189,31480.613646954298
190,30850.305156573653
191,30654.344686985016
192,28089.47873467207
193,22243.391033172607
194,22335.402859449387
195,28262.879164487123
196,27037.35132458806
197,25961.390164881945
198,26900.28443041444
199,20734.750617980957
200,20930.771512508392
201,24208.80888736248
202,25523.589746266603
203,24226.961097359657
204,27506.518867373466
205,20833.405597925186
206,23874.5548774004
207,32096.357134595513
208,31044.206591531634
209,31232.898120462894
210,28152.47582152486
211,22227.847266077995
212,24878.653435140848
213,31149.26840978861
214,30879.791928440332
215,30848.98478192091
216,28338.985870569944
217,22469.406628012657
218,25256.42456868291
219,31833.350907832384
220,31275.913098841906
221,31373.57336065173
222,28584.51612815261
223,22248.263317346573
224,25502.89131310582
225,31764.205832734704
226,31751.19652289152
227,32000.608135536313
228,28279.35582882166
229,22837.937332630157
230,25459.113345235586
231,32476.89904074371
232,31528.610192894936
233,30607.01580670476
234,27889.59423366189
235,22354.94783437252
236,22085.021057605743
237,28319.233496516943
238,26220.619932681322
239,25132.596918195486
240,25751.404927402735
241,20413.542013287544
242,20381.154246091843
243,23741.168520092964
244,24517.525682926178
245,23347.260138869286
246,26796.19639095664
247,20498.19436120987
248,23480.85708606243
249,31677.96548551321
250,30096.59179085493
251,30052.837354809046
252,27767.673857480288
253,21822.83345913887
254,24983.059752494097
255,32624.203674465418
256,31684.030912950635
257,31187.684910729527
258,28087.845466524363
259,22385.98431646824
260,24949.72273543477
261,32139.719506517053
262,31588.21490801871
263,30868.117551073432
264,28231.80838176608
265,22610.69808292389
266,25522.69633463025
267,33059.98893134296
268,31694.93252913654
269,31751.04855158925
270,28241.35033711791
271,22338.68455183506
272,25258.55679127574
273,32485.07774566114
274,31221.030104100704
275,30195.139880478382
276,26910.251553982496
277,21623.728699088097
278,21649.89289700985
279,27181.177835017443
280,25877.052904099226
281,24733.76918914914
282,26014.209139436483
283,20408.703232049942
284,20270.33450949192
285,23436.425810933113
286,24226.246368050575
287,22889.067599654198
288,26348.894699126482
289,20354.272128105164
290,23267.593346953392
291,31005.348569750786
292,29749.61863040924
293,29011.436867028475
294,26876.431137412786
295,21704.164463162422
296,24286.012415766716
297,30401.191314846277
298,29464.540549516678
299,29484.58886617422
300,27001.43777218461
301,21309.1680341959
302,23608.268753051758
303,29891.47405141592
304,29234.13008734584
305,28430.50711813569
306,26795.206458956003
307,21419.04809319973
308,24189.854202270508
309,30683.777415424585
310,30070.57556423545
311,29492.36394047737
312,27013.872945398092
313,21709.260100245476
314,24039.397301197052
315,30401.56622865796
316,29188.91508281231
317,28564.57230874896
318,26210.47253140807
319,21046.744319796562
320,21020.567358851433
321,25298.91905501485
322,24339.532558918
323,22758.69331586361
324,25539.705456346273
325,20107.37941777706
326,20048.3711745739
327,23254.244819879532
328,24230.407113671303
329,22832.367868304253
330,26085.00323703885
331,20257.710283994675
332,23420.133811593056
333,30920.9113984257
334,29567.457182735205
335,29006.695403844118
336,27211.496397048235
337,21482.98445880413
338,24188.076951265335
339,30825.471304416656
340,29796.845406502485
341,29234.56522667408
342,27194.01185271144
343,21597.542165875435
344,24497.727042913437
345,30946.861416861415
346,30358.352625727654
347,29676.01547113061
348,27331.475198298693
349,21783.008040070534
350,24349.297867178917
351,30720.863171756268
352,29733.133191496134
353,29780.164533793926
354,27301.91523846984
355,21845.869120955467
356,24435.674818634987
357,30543.712806135416
358,29934.53569459915
359,29213.572047442198
360,27089.31836733222
361,21606.21942639351
362,22054.807790517807
363,27274.82492366433
364,26037.57903292775
365,24801.686820358038
366,26028.822003513575
367,20451.713025450706
368,20412.734752058983
369,23291.316616654396
370,24317.157383561134
371,22794.35958468914
372,26673.660996586084
373,20355.433563232422
374,23609.632801175117
375,31096.230270192027
376,29439.400584220886
377,29303.170066922903
378,27213.49221482873
379,22001.303601145744
380,24391.101554870605
381,31345.671397328377
382,30000.026357144117
383,29967.314728230238
384,27177.89614263177
385,21754.589573144913
386,24736.150290697813
387,31157.247692465782
388,29950.839260429144
389,29115.780166953802
390,27280.739787310362
391,21804.32867062092
392,24135.916070103645
393,31257.394350767136
394,29942.632636398077
395,30071.711473315954
396,27674.86553877592
397,21714.536015033722
398,24318.65863418579
399,30687.73554804921
400,29337.29081338644
401,28653.191165030003
402,26694.156019061804
403,21540.28405225277
404,21561.328682422638
405,27461.023874014616
406,26009.63439324498
407,24382.111600279808
408,25615.998821645975
409,20239.35705637932
410,20205.133009195328
411,23489.183363437653
412,23329.27863430977
413,25232.622327774763
414,25784.047955065966
415,20213.9187554121
416,23420.457673311234
417,30978.442122250795
418,30050.837149739265
419,31760.213997751474
420,26626.755290299654
421,21453.37264919281
422,24483.276109695435
423,30320.41254451871
424,29355.486098587513
425,31732.500687867403
426,27209.002821356058
427,21542.46174311638
428,24672.725243717432
429,30706.310533195734
430,29181.695598870516
431,31661.085988253355
432,27023.580022364855
433,21703.20883178711
434,24106.853070497513
435,30222.29361155629
436,28579.475531607866
437,31452.749773278832
438,26803.393938452005
439,21045.019716262817
440,21157.919825673103
441,24971.416684418917
442,24345.875781536102
443,26283.192250162363
444,26675.273125976324
445,20271.196013569832
446,21076.97513604164
447,26331.166859656572
448,26166.491950541735
449,27484.896311551332
450,25980.44854953885
451,20133.388864040375
452,20347.399240016937
453,23640.18428838253
454,23623.662554621696
455,25859.22056737542
456,26475.73362544179
457,20231.423241972923
458,23585.12301015854
459,32173.40551249683
460,30046.92528307438
461,33116.992183342576
462,27827.900570571423
463,21802.442933917046
464,25017.11628499627
465,31343.979299619794
466,29890.928432166576
467,32373.82705760002
468,27780.277343064547
469,21662.534671664238
470,24676.883596271276
471,31049.231433719397
472,29822.582043141127
473,32566.422276884317
474,27517.464356452227
475,21600.710586428642
476,24657.52288749814
477,31160.70328104496
478,29700.754198879004
479,33046.06467226148
480,27614.31655934453
481,21414.301843881607
482,24695.106800585985
483,31158.127543389797
484,29161.97872197628
485,31925.257439166307
486,26896.106135636568
487,21343.636174201965
488,21617.46684074402
489,27374.855917066336
490,25731.590333610773
491,27919.719754964113
492,25969.53217610717
493,20389.978281378746
494,20339.13837313652
495,24149.264597177505
496,24380.785841226578
497,26441.60290786624
498,26703.371719628572
499,20321.8221411705
500,23579.902933597565
501,31122.172112315893
502,29552.87981581688
503,32387.155243605375
504,27468.428022950888
505,21311.549933433533
506,24341.67196071148
507,31104.351142659783
508,29169.13439080119
509,32660.740521080792
510,27650.069776266813
511,21505.12351822853
512,24478.038483977318
513,31503.90975421667
514,29558.490759968758
515,33217.630816310644
516,28074.862280994654
517,21475.65050649643
518,24720.477297991514
519,31297.826412290335
520,29480.38743841648
521,33545.9288816452
522,28373.684941530228
523,21678.740520596504
524,25070.30778029561
525,31812.537208616734
526,30024.023234158754
527,33618.27249005437
528,28488.169660061598
529,21643.091800928116
530,22087.179603934288
531,29688.37286967039
532,27801.305221766233
533,30368.531535714865
534,28245.42652770877
535,20709.371345996857
536,21179.03305709362
537,26146.53457042575
538,26495.746843785048
539,28467.237105190754
540,28261.718527048826
541,20651.331497192383
542,24425.44366002083
543,34498.73903052509
544,32548.613172851503
545,35923.09862142801
546,30648.322933018208
547,22707.89010131359
548,26604.083374649286
549,34090.03112600744
550,32290.437052458525
551,36039.717556774616
552,31326.406211808324
553,22803.357516169548
554,26533.626699477434
555,34703.753668665886
556,32445.415453985333
557,36386.022253870964
558,31532.86147621274
559,22569.387367010117
560,26692.086016207933
561,35116.99364301562
562,33480.18435458839
563,37179.439191669226
564,32101.57262444496
565,23129.326728582382
566,27300.36532881856
567,34968.21188876033
568,32622.121905699372
569,36673.7945292294
570,31505.8076556772
571,22699.375569343567
572,23686.10564649105
573,31723.605059996247
574,28935.703080534935
575,32187.214904367924
576,30395.6601395905
577,21381.590214967728
578,21979.96701681614
579,27812.825844585896
580,27157.205686360598
581,30378.866792738438
582,30642.55643951893
583,21313.033634901047
